WikidataID,itemLabel,en_description,sitelinks
Q5788,Petra,ancient city in southern Jordan,108
Q3766,Damascus,capital of Syria,213
Q131694,Aden,city in Yemen,98
Q1953,Yerevan,capital of Armenia,194
Q14274,Aarau,"capital of Canton Aargau, Switzerland",89
Q23430,Ulaanbaatar,capital of Mongolia,176
Q188904,Gao,city in Mali,62
Q270,Warsaw,capital and largest city of Poland,261
Q1555,Guatemala City,capital and largest city of the Republic of Guatemala,138
Q8717,Seville,capital of the province of Seville and the autonomous community of Andalusia in Spain,161
Q31926034,Zaragoza,"capital of Zaragoza Municipality, Spain",1
Q1815305,Qashliq,medieval Tatar fortress,27
Q466054,Mahdia,Tunisian town,44
Q1524,Athens,capital city of Greece,258
Q437,Ljubljana,capital city of Slovenia,180
Q83317,Mosul,city in northern Iraq and capital of Nineveh Province,112
Q109092,Kilkenny,"city in County Kilkenny, Ireland",59
Q10282,Pamplona,capital city of Navarre and capital city of the historical Kingdom of Navarre,102
Q101583,Thebes,ancient Egyptian city,80
Q1490,Tokyo,capital and most populous prefecture of Japan,273
Q1153061,Richard Toll,town in Senegal,17
Q19660,Bucharest,capital and largest city of Romania,220
Q26119,Prešov,city in Slovakia,80
Q9248,Baku,capital of Azerbaijan,222
Q3711,Belgrade,capital of Serbia,210
Q1207735,Tokyo City,"historic municipality in Japan, 1889-1943. now area of 23 special wards",22
Q2634,Naples,"city in Campania, Italy",188
Q268638,Hadiach,city in Poltava Oblast (province) of Ukraine,39
Q41183,Aleppo,"city and governorate capital of Aleppo, Syria",133
Q208573,Arta,town in Greece,51
Q215646,Edo,former name of Tokyo. capital of Tokugawa Shogunate (1603-1868),48
Q1722,Dubrovnik,"city in Dubrovnik-Neretva County, Croatia",113
Q37333,Lublin,capital of Lublin Voivodeship in eastern Poland,115
Q4191,Lucerne,"city on Lake Lucerne, in central Switzerland",116
Q2401317,Achir,ancient city,4
Q1344411,Phanagoria,ancient Greek settlement in Russia,26
Q776113,Nájera,municipality of Spain,43
Q101625,Marrakesh,city in Morocco,122
Q318889,Pliska,town in Bulgaria,45
Q90,Paris,capital and largest city of France,333
Q2005166,Alexandria on the Caucasus,colony of Alexander the Great on the Hindu-Kush mountains,13
Q1014248,Sonsonate,"City and capital of the Sonsonate Department, El Salvador",33
Q243616,Veliki Preslav,town in Bulgaria,47
Q131818,Oran,city in Algeria,97
Q163607,Angkor,former capital city; region of Cambodia,86
Q2477836,Xacitarxan,Capital of the Khanate of Astrakhan,14
Q3926,Pretoria,administrative capital of South Africa located in the Gauteng province,168
Q310772,Mukalla,"District of Hadhramaut Governorate, Yemen",42
Q3630,Jakarta,capital city and smallest province of Indonesia,222
Q335478,Ma'rib,"City in Ma'rib Governorate, Yemen",45
Q1858,Hanoi,capital of Vietnam,186
Q1040,Karlsruhe,"city in Baden-Württemberg, Germany",120
Q234783,Shaki,city in Azerbaijan,75
Q161980,Chyhyryn,city and administrative center of Chyhyrynsky District of Cherkasy Oblast in central Ukraine,37
Q2656,Palermo,"Italian city, capital of Sicily",161
Q3616,Tehran,capital of Iran,216
Q994,Tbilisi,capital city of the sovereign state of Georgia,212
